"Name","Team","G","PA","HR","R","RBI","SB","BBRate","KRate","ISO","BABIP","AVG","OBP","SLG","wOBA","wRCPlus","BsR","Off","Def","WAR","PlayerId"
"Mike Trout","Angels","159","681","29","123","100","30","17.0 %","20.1 %",".235",".371",".315",".441",".550",".418","171","9.3","67.7","0.7","9.4","10155"
"Kris Bryant","Cubs","155","699","39","121","102","8","10.7 %","22.0 %",".262",".332",".292",".385",".554",".396","149","7.3","49.1","11.0","8.4","15429"
"Mookie Betts","Red Sox","158","730","31","122","113","26","6.7 %","11.0 %",".216",".322",".318",".363",".534",".379","135","9.8","40.7","10.6","7.8","13611"
"Josh Donaldson","Blue Jays","155","700","37","122","99","7","15.6 %","17.0 %",".265",".300",".284",".404",".549",".403","155","0.2","46.3","4.2","7.6","5038"
"Corey Seager","Dodgers","157","687","26","105","72","3","7.9 %","19.4 %",".204",".355",".308",".365",".512",".372","137","2.6","33.9","17.5","7.5","13624"
"Jose Altuve","Astros","161","717","24","108","96","30","8.4 %","9.8 %",".194",".347",".338",".396",".531",".391","150","0.2","43.3","-2.5","6.7","5417"
"Manny Machado","Orioles","157","696","37","105","96","0","6.9 %","17.2 %",".239",".309",".294",".343",".533",".366","129","-0.4","23.7","15.9","6.5","11493"
"Francisco Lindor","Indians","158","684","15","99","78","19","8.3 %","12.9 %",".134",".324",".301",".358",".435",".340","112","1.0","10.8","27.7","6.3","12916"
"Freddie Freeman","Braves","158","693","34","102","91","6","12.8 %","24.7 %",".267",".370",".302",".400",".569",".402","152","1.1","45.5","-7.7","6.1","5361"
"Adrian Beltre","Rangers","153","640","32","89","104","1","7.5 %","10.3 %",".221",".293",".300",".358",".521",".371","130","-0.8","22.6","15.2","6.1","639"
"Adam Eaton","White Sox","157","706","14","91","59","14","8.9 %","16.3 %",".144",".329",".284",".362",".428",".344","115","4.4","16.8","18.0","6.0","11205"
"Robinson Cano","Mariners","161","715","39","107","103","0","6.6 %","14.0 %",".235",".299",".298",".350",".533",".370","138","-1.8","30.5","3.4","6.0","3269"
"Brian Dozier","Twins","155","691","42","104","99","18","8.8 %","20.0 %",".278",".280",".268",".340",".546",".370","132","5.5","31.9","2.3","5.9","9810"
"Ian Kinsler","Tigers","153","679","28","117","83","14","6.6 %","16.9 %",".196",".314",".288",".348",".484",".356","123","3.6","22.8","10.6","5.8","6195"
"Brandon Crawford","Giants","155","623","12","67","84","7","9.1 %","18.5 %",".156",".322",".275",".342",".430",".327","107","3.4","8.4","28.0","5.8","5343"
"Justin Turner","Dodgers","151","622","27","79","90","4","7.7 %","17.2 %",".218",".293",".275",".339",".493",".353","124","0.2","18.6","16.0","5.6","5235"
"Daniel Murphy","Nationals","142","582","25","88","104","5","6.0 %","9.8 %",".249",".348",".347",".390",".595",".408","156","3.4","43.3","-7.6","5.5","4316"
"Kyle Seager","Mariners","158","676","30","89","99","3","10.2 %","16.0 %",".221",".295",".278",".359",".499",".363","133","-2.0","24.4","6.0","5.5","9785"
"Dustin Pedroia","Red Sox","154","698","15","105","74","7","8.7 %","10.5 %",".131",".339",".318",".376",".449",".358","120","-4.5","12.7","14.8","5.2","8370"
"Nolan Arenado","Rockies","160","696","41","116","133","2","9.8 %","14.8 %",".275",".293",".294",".362",".570",".386","124","-1.1","19.8","8.6","5.2","9777"
"Anthony Rizzo","Cubs","155","676","32","94","109","3","10.9 %","16.0 %",".252",".309",".292",".385",".544",".391","145","-2.8","34.6","-5.8","5.2","3473"
"Jean Segura","Diamondbacks","153","694","20","102","64","33","5.6 %","14.6 %",".181",".353",".319",".368",".499",".371","126","5.1","27.7","-1.0","5.0","5933"
"Joey Votto","Reds","158","677","29","101","97","8","16.0 %","17.7 %",".225",".366",".326",".434",".550",".413","158","-2.7","45.7","-18.7","5.0","4314"
"Carlos Correa","Astros","153","660","20","76","96","13","11.4 %","21.1 %",".177",".328",".274",".361",".451",".349","122","4.0","21.1","4.7","4.9","14162"
"Miguel Cabrera","Tigers","158","679","38","92","108","0","11.0 %","17.1 %",".247",".336",".316",".393",".563",".399","152","-10.0","32.8","-8.4","4.9","1744"
"Jackie Bradley Jr.","Red Sox","156","636","26","94","87","9","9.9 %","22.5 %",".219",".312",".267",".349",".486",".354","118","5.2","18.8","6.9","4.8","12984"
"Jason Kipnis","Indians","156","688","23","91","82","15","8.7 %","21.2 %",".193",".324",".275",".343",".469",".347","117","1.1","14.8","9.1","4.8","9776"
"Paul Goldschmidt","Diamondbacks","158","705","24","106","95","32","15.6 %","21.3 %",".192",".358",".297",".411",".489",".382","134","5.4","34.6","-10.4","4.8","9218"
"Jose Ramirez","Indians","152","618","11","84","76","22","7.1 %","10.0 %",".150",".333",".312",".363",".462",".355","122","8.8","24.9","0.5","4.8","13510"
"Xander Bogaerts","Red Sox","157","719","21","115","89","13","8.1 %","17.1 %",".152",".335",".294",".356",".446",".348","113","6.1","17.7","4.2","4.7","12161"
"Dexter Fowler","Cubs","125","551","13","84","48","13","14.3 %","22.5 %",".171",".350",".276",".393",".447",".367","129","6.2","25.8","2.7","4.7","4062"
"Anthony Rendon","Nationals","156","647","20","91","85","12","10.0 %","18.1 %",".180",".304",".270",".348",".450",".342","112","3.2","12.4","12.9","4.7","12861"
"Jonathan Lucroy","- - -","142","544","24","67","81","5","8.6 %","18.4 %",".208",".322",".292",".355",".500",".362","123","-0.7","14.2","12.5","4.5","7870"
"Evan Longoria","Rays","160","685","36","81","98","0","6.1 %","21.0 %",".248",".298",".273",".318",".521",".350","123","0.1","18.8","2.0","4.5","9368"
"George Springer","Astros","162","744","29","116","82","9","11.8 %","23.9 %",".196",".317",".261",".359",".457",".353","124","-0.4","21.3","-2.9","4.5","12856"
"David Ortiz","Red Sox","151","626","38","79","127","2","12.8 %","13.7 %",".305",".312",".315",".401",".620",".419","163","-9.9","37.1","-15.2","4.4","745"
"Cesar Hernandez","Phillies","155","622","6","67","39","17","10.6 %","18.6 %",".099",".363",".294",".371",".393",".335","108","1.0","7.1","16.1","4.4","10556"
"Brandon Belt","Giants","156","655","17","77","82","0","15.9 %","22.6 %",".199",".346",".275",".394",".474",".374","138","-2.8","28.0","-6.0","4.4","10264"
"Christian Yelich","Marlins","155","659","21","78","98","9","10.9 %","20.9 %",".185",".356",".298",".376",".483",".367","130","2.5","27.0","-5.3","4.4","11477"
"Nelson Cruz","Mariners","155","667","43","96","105","2","9.3 %","23.8 %",".268",".320",".287",".360",".555",".383","147","-3.3","34.0","-15.6","4.2","2434"
"DJ LeMahieu","Rockies","146","635","11","104","66","11","10.4 %","12.6 %",".147",".388",".348",".416",".495",".391","128","-0.4","21.5","-0.9","4.2","9874"
"Buster Posey","Giants","146","614","14","82","80","6","10.4 %","11.1 %",".147",".303",".288",".362",".434",".341","116","-3.1","9.1","10.8","4.0","9166"
"Ben Zobrist","Cubs","147","631","18","94","76","6","15.2 %","13.0 %",".174",".290",".272",".386",".446",".360","124","1.7","20.6","-1.5","4.0","7435"
"Starling Marte","Pirates","129","529","9","71","46","47","4.3 %","19.7 %",".145",".380",".311",".362",".456",".351","121","7.0","20.7","1.4","4.0","9241"
"Kole Calhoun","Angels","157","672","18","91","75","2","10.0 %","17.6 %",".167",".309",".271",".348",".438",".340","118","1.7","16.0","-0.1","4.0","11200"
"Addison Russell","Cubs","151","598","21","67","95","5","9.2 %","22.6 %",".179",".277",".238",".321",".417",".316","95","1.3","-2.4","21.9","3.9","14106"
"Charlie Blackmon","Rockies","143","641","29","111","82","17","6.7 %","15.9 %",".228",".350",".324",".381",".552",".394","130","3.1","26.5","-8.4","3.9","7859"
"Edwin Encarnacion","Blue Jays","160","702","42","99","127","2","12.4 %","19.7 %",".266",".270",".263",".357",".529",".373","134","-2.1","26.9","-13.1","3.9","2151"
"Odubel Herrera","Phillies","159","656","15","87","49","25","9.6 %","20.4 %",".134",".349",".286",".361",".420",".338","110","2.6","10.6","6.1","3.8","11476"
"Wil Myers","Padres","157","676","28","99","94","28","10.1 %","23.7 %",".202",".305",".259",".336",".461",".341","115","7.8","20.4","-4.4","3.8","10047"
"Carlos Santana","Indians","158","688","34","89","87","5","14.4 %","14.4 %",".239",".258",".259",".366",".498",".370","132","-0.9","25.6","-12.5","3.7","2396"
"Ender Inciarte","Braves","131","578","3","85","29","16","7.8 %","11.8 %",".090",".329",".291",".351",".381",".319","97","4.3","1.8","14.8","3.6","4922"
"Bryce Harper","Nationals","147","627","24","84","86","21","17.2 %","18.7 %",".198",".264",".243",".373",".441",".343","112","2.4","11.8","2.3","3.5","11579"
"J.T. Realmuto","Marlins","137","545","11","60","48","12","5.1 %","18.3 %",".126",".357",".303",".343",".428",".333","107","1.2","6.2","10.3","3.5","11739"
"Wilson Ramos","Nationals","131","523","22","58","80","0","6.7 %","15.1 %",".189",".327",".307",".354",".496",".361","124","-6.9","8.7","8.4","3.5","1433"
"Ian Desmond","Rangers","156","677","22","107","86","21","6.5 %","23.6 %",".162",".350",".285",".335",".446",".336","106","5.7","10.5","-0.8","3.3","6885"
"Martin Prado","Marlins","153","658","8","70","75","2","7.4 %","10.5 %",".112",".331",".305",".359",".417",".335","109","-1.7","5.4","5.5","3.2","3312"
"Ryan Braun","Brewers","135","564","30","80","91","16","8.2 %","17.4 %",".233",".326",".305",".365",".538",".378","133","-0.4","22.5","-8.8","3.2","3410"
"Kevin Pillar","Blue Jays","146","584","7","59","53","14","4.1 %","15.4 %",".109",".306",".266",".303",".376",".295","80","1.8","-11.9","23.6","3.2","12434"
"Matt Carpenter","Cardinals","129","566","21","81","68","0","14.3 %","19.1 %",".235",".307",".271",".380",".505",".375","135","-3.1","21.6","-8.7","3.2","8090"
"Yoenis Cespedes","Mets","132","543","31","72","86","3","9.4 %","19.9 %",".251",".298",".280",".354",".530",".369","134","-0.2","22.8","-9.2","3.2","13110"
"Jonathan Villar","Brewers","156","679","19","92","63","62","11.6 %","25.6 %",".171",".373",".285",".369",".457",".356","118","3.2","18.3","-10.4","3.0","10071"
"Asdrubal Cabrera","Mets","141","568","23","65","62","5","6.7 %","18.1 %",".194",".310",".280",".336",".474",".345","119","-3.7","9.2","1.8","3.0","4962"
"Troy Tulowitzki","Blue Jays","131","544","24","54","79","1","7.9 %","18.6 %",".189",".272",".254",".318",".443",".327","102","-2.7","-1.2","10.4","2.8","3531"
"Adam Duvall","Reds","150","608","33","85","103","6","6.7 %","27.0 %",".257",".275",".241",".297",".498",".333","104","0.8","4.0","4.4","2.8","10950"
"Logan Forsythe","Rays","127","567","20","76","52","6","8.1 %","22.4 %",".180",".314",".264",".333",".444",".336","113","0.3","9.2","-1.5","2.8","7185"
"Stephen Piscotty","Cardinals","153","649","22","86","85","7","7.9 %","20.5 %",".184",".319",".273",".343",".457",".345","115","-3.4","8.9","-2.6","2.8","13367"
"Chris Davis","Orioles","157","665","38","99","84","1","13.2 %","32.9 %",".239",".279",".221",".332",".459",".340","111","4.3","13.1","-8.9","2.7","9272"
"Eduardo Nunez","- - -","141","595","16","73","67","40","4.9 %","14.8 %",".145",".314",".288",".325",".432",".324","102","2.8","3.9","2.6","2.7","6848"
"Didi Gregorius","Yankees","153","597","20","68","70","7","3.2 %","13.7 %",".171",".290",".276",".304",".447",".319","98","3.6","2.0","3.8","2.7","6012"
"Curtis Granderson","Mets","150","633","30","88","59","4","11.7 %","20.5 %",".228",".254",".237",".335",".464",".339","114","2.1","13.2","-7.6","2.6","4747"
"Chase Headley","Yankees","140","529","14","58","51","8","9.6 %","22.3 %",".133",".303",".251",".329",".383",".311","92","3.9","-1.0","8.5","2.6","4720"
"Hanley Ramirez","Red Sox","147","620","30","81","111","9","9.7 %","19.4 %",".219",".315",".286",".361",".505",".367","127","-1.4","18.6","-14.5","2.6","8001"
"Khris Davis","Athletics","150","610","42","85","102","1","6.9 %","27.2 %",".277",".270",".247",".307",".524",".349","123","-2.9","14.0","-10.0","2.5","9112"
"Gregory Polanco","Pirates","144","587","22","79","86","17","9.0 %","20.3 %",".205",".291",".258",".323",".463",".331","108","0.4","6.0","0.1","2.5","12907"
"Jake Lamb","Diamondbacks","151","594","29","81","91","6","10.8 %","25.9 %",".260",".294",".249",".332",".509",".352","114","4.5","14.7","-9.0","2.5","13329"
"Zack Cozart","Reds","121","508","16","67","50","4","7.3 %","16.5 %",".172",".274",".252",".308",".425",".312","91","-0.4","-6.4","14.5","2.5","2616"
"Marcus Semien","Athletics","159","621","27","72","75","10","8.2 %","22.4 %",".197",".268",".238",".300",".435",".315","100","-0.3","-0.6","3.4","2.5","12533"
"Brett Gardner","Yankees","148","634","7","80","41","16","11.0 %","16.7 %",".101",".310",".261",".351",".362",".317","97","7.3","4.9","-2.6","2.4","9927"
"Marcell Ozuna","Marlins","148","608","23","75","76","0","7.1 %","18.9 %",".187",".296",".266",".321",".452",".330","105","-0.8","2.9","1.6","2.4","10324"
"Yadier Molina","Cardinals","147","581","8","56","58","3","6.7 %","10.8 %",".120",".335",".307",".360",".427",".342","113","-8.7","0.7","4.7","2.4","7007"
"Todd Frazier","White Sox","158","666","40","89","98","15","9.6 %","24.5 %",".239",".236",".225",".302",".464",".326","102","0.8","2.7","-2.1","2.4","785"
"Freddy Galvis","Phillies","158","624","20","61","67","17","4.0 %","21.8 %",".158",".280",".241",".274",".399",".284","74","1.2","-18.7","22.0","2.4","6609"
"Carlos Beltran","- - -","151","593","29","73","93","1","5.9 %","17.0 %",".217",".315",".295",".337",".513",".358","124","-3.9","13.1","-10.8","2.3","589"
"Leonys Martin","Mariners","143","576","15","72","47","24","7.6 %","25.9 %",".131",".313",".247",".306",".378",".298","88","4.6","-3.8","5.8","2.2","11846"
"Salvador Perez","Royals","139","546","22","57","64","0","4.0 %","21.8 %",".191",".280",".247",".288",".438",".308","88","-4.1","-11.8","14.7","2.2","7304"
"Mark Trumbo","Orioles","159","667","47","94","108","2","7.6 %","25.5 %",".277",".278",".256",".316",".533",".358","123","-2.0","16.7","-18.3","2.2","6876"
"Joe Panik","Giants","127","526","10","67","62","5","9.5 %","8.9 %",".140",".245",".239",".315",".379",".300","89","2.2","-5.2","9.3","2.1","11936"
"Elvis Andrus","Rangers","147","568","8","75","69","24","8.3 %","12.3 %",".136",".333",".302",".362",".439",".344","112","1.8","9.9","-8.7","2.1","8709"
"Angel Pagan","Giants","129","543","12","71","55","15","7.7 %","12.2 %",".141",".298",".277",".331",".418",".324","105","1.9","4.9","-1.8","2.1","2918"
"Jose Iglesias","Tigers","137","513","4","57","32","7","5.5 %","9.7 %",".081",".276",".255",".306",".336",".283","73","1.8","-14.8","17.6","2.1","10231"
"Jacoby Ellsbury","Yankees","148","626","9","71","56","20","8.6 %","13.4 %",".111",".295",".263",".330",".374",".308","91","2.7","-4.2","2.7","2.0","4727"
"Chase Utley","Dodgers","138","565","14","79","52","2","7.1 %","20.4 %",".145",".299",".252",".319",".396",".312","97","1.3","-1.1","2.7","2.0","1679"
"Jonathan Schoop","Orioles","162","647","25","82","82","1","3.2 %","21.2 %",".187",".305",".267",".298",".454",".320","97","-0.5","-2.5","0.1","2.0","11265"
